code;libelle;niveau;code_parent;code_famille;libelle_famille;section;categorie_principale;categorie_metier;profil_formulaire;ordre_affichage
233.015;Magasin;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233015
233.016;Parking;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233016
233.017;Réfectoire;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233017
233.018;Toilette externe;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233018
233.019;Acquisition de villas à usage technique;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233019
233.020;Construction de villas à usage technique;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233020
233.999;Autres bâtiments administratifs à usage technique;ARTICLE;233;233;BATIMENTS ADMINISTRATIFS A USAGE TECHNIQUE;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;233999
234.001;Aéroport;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234001
234.002;Aérodrome;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234002
234.003;Aire de repos;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234003
234.004;Barrage;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234004
234.005;Base aérienne;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234005
234.006;Bassin;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234006
234.007;Châteaux d’eau;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234007
234.008;Chemin de fer;ARTICLE;234;234;OUVRAGES;IMMOBILISATION;IMMOBILIER;IMMOBILIER;immobilier;234008
